logtime	mic	cpu_user	cpuT	memT	totW
1458048691	mic1	0.00	67.00	53.00	113.00
1458048692	mic2	18.72	73.00	57.00	135.00
1458048693	mic3	99.78	59.00	42.00	168.00
1458048694	mic4	98.58	64.00	45.00	164.00
1458048695	mic5	33.37	68.00	51.00	150.00
1458048726	mic0	99.75	53.00	39.00	164.00
1458048727	mic1	98.87	71.00	53.00	203.00
1458048728	mic2	99.82	73.00	57.00	184.00
1458048729	mic3	99.84	58.00	42.00	169.00
1458048730	mic4	35.20	62.00	45.00	115.00
1458048731	mic5	0.35	67.00	51.00	114.00
1458048762	mic0	99.75	52.00	39.00	164.00
1458048763	mic1	99.77	68.00	53.00	172.00
1458048764	mic2	99.72	74.00	57.00	185.00
1458048765	mic3	95.24	58.00	42.00	168.00
1458048765	mic4	0.35	63.00	45.00	114.00
1458048766	mic5	35.47	67.00	51.00	125.00
1458048797	mic0	100.00	52.00	39.00	164.00
1458048798	mic1	100.00	67.00	53.00	171.00
1458048799	mic2	99.68	71.00	57.00	184.00
1458048800	mic3	0.35	56.00	42.00	115.00
1458048801	mic4	39.76	63.00	46.00	121.00
1458048802	mic5	36.24	68.00	51.00	144.00
1458048833	mic0	99.58	51.00	39.00	166.00
1458048834	mic1	100.00	67.00	52.00	171.00
1458048835	mic2	0.33	73.00	57.00	136.00
1458048836	mic3	99.84	59.00	42.00	172.00
1458048837	mic4	99.64	65.00	45.00	168.00
1458048838	mic5	40.37	68.00	51.00	146.00
1458048869	mic0	0.35	49.00	39.00	109.00
1458048870	mic1	0.06	65.00	52.00	129.00
1458048870	mic2	0.00	73.00	58.00	133.00
1458048871	mic3	0.34	57.00	42.00	117.00
1458048872	mic4	54.54	65.00	46.00	141.00
1458048873	mic5	99.99	71.00	52.00	192.00
1458048904	mic0	20.70	50.00	39.00	111.00
1458048905	mic1	0.34	64.00	52.00	117.00
1458048906	mic2	38.80	73.00	58.00	167.00
1458048907	mic3	39.79	59.00	42.00	150.00
1458048908	mic4	0.33	63.00	46.00	113.00
1458048909	mic5	56.88	69.00	52.00	130.00
1458048940	mic0	0.00	51.00	39.00	104.00
1458048941	mic1	30.44	67.00	52.00	147.00
1458048942	mic2	99.81	73.00	57.00	186.00
1458048943	mic3	0.00	57.00	42.00	112.00
1458048944	mic4	28.79	63.00	46.00	139.00
1458048945	mic5	99.72	69.00	52.00	170.00
1458048975	mic0	99.45	55.00	39.00	172.00
1458048976	mic1	0.00	67.00	53.00	113.00
1458048977	mic2	99.77	72.00	57.00	185.00
1458048978	mic3	99.89	63.00	42.00	190.00
1458048979	mic4	0.05	62.00	46.00	109.00
1458048980	mic5	99.76	69.00	52.00	168.00
1458049011	mic0	27.74	54.00	40.00	189.00
1458049012	mic1	84.49	67.00	53.00	115.00
1458049013	mic2	99.80	73.00	57.00	184.00
1458049014	mic3	40.29	58.00	42.00	114.00
1458049015	mic4	25.53	63.00	46.00	111.00
1458049016	mic5	99.74	69.00	51.00	167.00
1458049047	mic0	99.75	53.00	40.00	164.00
1458049048	mic1	35.35	66.00	53.00	115.00
1458049049	mic2	99.70	73.00	57.00	185.00
1458049050	mic3	99.77	60.00	42.00	168.00
1458049051	mic4	41.88	63.00	46.00	110.00
1458049051	mic5	100.00	69.00	51.00	167.00
1458049082	mic0	99.89	54.00	39.00	160.00
1458049083	mic1	98.59	69.00	53.00	172.00
1458049084	mic2	0.05	71.00	57.00	153.00
1458049085	mic3	99.68	57.00	41.00	170.00
1458049086	mic4	99.74	64.00	45.00	166.00
1458049087	mic5	99.87	68.00	51.00	167.00
1458049118	mic0	99.79	54.00	39.00	162.00
1458049119	mic1	99.67	68.00	53.00	174.00
1458049120	mic2	0.06	73.00	58.00	132.00
1458049121	mic3	98.90	65.00	42.00	206.00
1458049122	mic4	99.72	64.00	45.00	163.00
1458049123	mic5	100.00	69.00	51.00	169.00
1458049154	mic0	100.00	52.00	39.00	162.00
1458049155	mic1	99.83	69.00	52.00	172.00
1458049156	mic2	50.14	75.00	58.00	208.00
1458049157	mic3	99.75	60.00	42.00	169.00
1458049158	mic4	0.40	62.00	45.00	126.00
1458049158	mic5	0.18	68.00	51.00	124.00
1458049189	mic0	99.59	52.00	39.00	164.00
1458049190	mic1	99.75	67.00	52.00	172.00
1458049191	mic2	99.79	74.00	57.00	184.00
1458049192	mic3	99.81	58.00	42.00	168.00
1458049193	mic4	45.05	62.00	46.00	115.00
1458049194	mic5	0.35	67.00	52.00	114.00
1458049225	mic0	10.15	50.00	39.00	146.00
1458049226	mic1	99.47	68.00	52.00	170.00
1458049227	mic2	99.50	73.00	57.00	186.00
1458049228	mic3	99.79	59.00	42.00	168.00
1458049229	mic4	0.34	61.00	46.00	115.00
1458049230	mic5	0.32	67.00	52.00	115.00
1458049261	mic0	10.27	50.00	39.00	149.00
1458049262	mic1	48.73	66.00	52.00	170.00
1458049263	mic2	100.00	73.00	57.00	186.00
1458049263	mic3	99.79	58.00	42.00	169.00
1458049264	mic4	0.33	62.00	46.00	115.00
1458049265	mic5	0.40	67.00	52.00	115.00
1458049296	mic0	0.02	49.00	39.00	124.00
1458049297	mic1	0.05	66.00	52.00	130.00
1458049298	mic2	99.72	72.00	57.00	187.00
1458049299	mic3	99.79	58.00	42.00	169.00
1458049300	mic4	0.35	63.00	46.00	114.00
1458049301	mic5	64.07	68.00	52.00	115.00
1458049332	mic0	0.36	49.00	39.00	110.00
1458049333	mic1	0.39	65.00	52.00	117.00
1458049334	mic2	100.00	71.00	57.00	183.00
1458049335	mic3	98.78	58.00	41.00	169.00
1458049336	mic4	48.99	62.00	46.00	111.00
1458049337	mic5	65.24	69.00	52.00	152.00
1458049368	mic0	63.93	56.00	40.00	197.00
1458049369	mic1	99.98	72.00	53.00	212.00
1458049369	mic2	99.76	72.00	57.00	186.00
1458049370	mic3	0.36	56.00	42.00	116.00
1458049371	mic4	0.37	63.00	46.00	114.00
1458049372	mic5	99.85	72.00	52.00	194.00
1458049403	mic0	39.32	53.00	40.00	165.00
1458049404	mic1	99.68	69.00	53.00	172.00
1458049405	mic2	0.23	71.00	57.00	146.00
1458049406	mic3	1.22	58.00	42.00	124.00
1458049407	mic4	0.06	63.00	46.00	112.00
1458049408	mic5	99.79	69.00	52.00	168.00
1458049439	mic0	0.37	50.00	40.00	111.00
1458049440	mic1	99.99	67.00	53.00	170.00
1458049441	mic2	0.37	71.00	57.00	135.00
1458049442	mic3	50.81	58.00	42.00	116.00
1458049443	mic4	40.79	64.00	46.00	114.00
1458049444	mic5	99.77	69.00	51.00	168.00
1458049475	mic0	0.33	51.00	40.00	111.00
1458049475	mic1	0.11	66.00	53.00	129.00
1458049476	mic2	69.72	73.00	58.00	171.00
1458049477	mic3	99.81	59.00	42.00	168.00
1458049478	mic4	99.69	65.00	46.00	169.00
1458049479	mic5	0.07	68.00	51.00	135.00
1458049510	mic0	0.06	52.00	40.00	104.00
1458049511	mic1	0.33	66.00	53.00	120.00
1458049512	mic2	0.03	73.00	58.00	132.00
1458049513	mic3	99.77	58.00	42.00	169.00
1458049514	mic4	99.77	65.00	46.00	168.00
1458049515	mic5	0.36	67.00	52.00	114.00
1458049546	mic0	99.99	57.00	40.00	190.00
1458049547	mic1	67.00	69.00	53.00	157.00
1458049548	mic2	100.00	76.00	58.00	208.00
1458049549	mic3	92.69	58.00	42.00	168.00
1458049550	mic4	100.00	64.00	45.00	165.00
1458049551	mic5	0.34	68.00	52.00	115.00
1458049581	mic0	98.21	54.00	40.00	166.00
1458049582	mic1	0.19	67.00	53.00	116.00
1458049583	mic2	85.65	75.00	58.00	210.00
1458049584	mic3	47.36	57.00	42.00	114.00
1458049585	mic4	19.07	63.00	46.00	118.00
1458049586	mic5	0.00	69.00	52.00	114.00
1458049617	mic0	98.80	54.00	40.00	164.00
1458049618	mic1	98.41	70.00	53.00	173.00
1458049619	mic2	100.00	73.00	57.00	190.00
1458049620	mic3	5.42	57.00	42.00	158.00
1458049621	mic4	0.33	61.00	46.00	114.00
1458049622	mic5	99.67	68.00	52.00	171.00
1458049653	mic0	98.64	53.00	40.00	165.00
1458049654	mic1	99.66	67.00	53.00	172.00
1458049655	mic2	100.00	79.00	59.00	226.00
1458049656	mic3	5.57	58.00	42.00	123.00
1458049657	mic4	0.00	63.00	46.00	109.00
1458049657	mic5	0.37	68.00	52.00	116.00
1458049688	mic0	0.32	49.00	39.00	111.00
1458049689	mic1	0.37	65.00	53.00	116.00
1458049690	mic2	99.81	74.00	58.00	187.00
1458049691	mic3	16.66	59.00	42.00	188.00
1458049692	mic4	53.30	64.00	46.00	132.00
1458049693	mic5	0.00	68.00	52.00	110.00
1458049724	mic0	60.73	53.00	40.00	150.00
1458049725	mic1	44.12	67.00	53.00	151.00
1458049726	mic2	99.81	71.00	58.00	186.00
1458049727	mic3	100.00	58.00	42.00	170.00
1458049728	mic4	100.00	64.00	46.00	166.00
1458049729	mic5	78.31	69.00	52.00	155.00
1458049760	mic0	22.29	53.00	40.00	108.00
1458049761	mic1	1.19	68.00	53.00	115.00
1458049762	mic2	24.03	71.00	57.00	166.00
1458049763	mic3	99.81	59.00	42.00	168.00
1458049764	mic4	98.50	64.00	45.00	166.00
1458049765	mic5	98.65	69.00	52.00	169.00
1458049796	mic0	30.19	53.00	40.00	145.00
1458049796	mic1	49.21	68.00	53.00	156.00
1458049797	mic2	0.34	71.00	57.00	137.00
1458049798	mic3	100.00	58.00	42.00	168.00
1458049799	mic4	0.03	62.00	45.00	133.00
1458049800	mic5	100.00	68.00	52.00	167.00
1458049831	mic0	100.00	55.00	40.00	165.00
1458049832	mic1	99.73	69.00	53.00	173.00
1458049833	mic2	0.05	73.00	58.00	137.00
1458049834	mic3	0.34	57.00	42.00	116.00
1458049835	mic4	0.38	62.00	46.00	114.00
1458049836	mic5	0.08	68.00	51.00	135.00
1458049867	mic0	98.62	52.00	40.00	160.00
1458049868	mic1	98.58	68.00	53.00	170.00
1458049869	mic2	100.00	75.00	58.00	212.00
1458049870	mic3	0.35	56.00	42.00	117.00
