#time	mic	%cpu	cpuT	memT	totW
1457984948	mic5	9.74	74.00	52.00	169.00
1457985009	mic0	5.67	59.00	40.00	168.00
1457985010	mic1	3.76	74.00	54.00	176.00
1457985011	mic2	5.98	79.00	59.00	192.00
1457985012	mic3	0.52	65.00	43.00	176.00
1457985013	mic4	3.39	68.00	46.00	169.00
1457985014	mic5	8.28	73.00	52.00	172.00
1457985075	mic0	3.44	61.00	40.00	167.00
1457985076	mic1	6.89	75.00	54.00	177.00
1457985077	mic2	2.70	78.00	59.00	188.00
1457985078	mic3	4.96	65.00	43.00	170.00
1457985079	mic4	8.97	68.00	46.00	169.00
1457985080	mic5	6.29	74.00	52.00	172.00
1457985141	mic0	6.48	60.00	40.00	162.00
1457985141	mic1	5.82	74.00	54.00	175.00
1457985142	mic2	8.58	78.00	59.00	193.00
1457985143	mic3	5.95	66.00	43.00	174.00
1457985144	mic4	0.00	68.00	46.00	168.00
1457985145	mic5	8.66	75.00	52.00	175.00
1457985206	mic0	5.49	60.00	40.00	163.00
1457985207	mic1	9.58	73.00	54.00	176.00
1457985208	mic2	3.38	78.00	59.00	188.00
1457985209	mic3	6.98	65.00	43.00	171.00
1457985210	mic4	7.64	68.00	46.00	173.00
1457985211	mic5	9.40	74.00	52.00	174.00
1457985272	mic0	7.40	60.00	40.00	168.00
1457985273	mic1	5.24	73.00	54.00	179.00
1457985274	mic2	6.82	78.00	59.00	187.00
1457985275	mic3	7.69	65.00	43.00	172.00
1457985276	mic4	2.34	68.00	46.00	165.00
1457985276	mic5	3.50	74.00	52.00	167.00
1457985337	mic0	5.10	59.00	40.00	163.00
1457985338	mic1	4.65	73.00	54.00	176.00
1457985339	mic2	1.51	78.00	59.00	188.00
1457985340	mic3	9.21	66.00	43.00	176.00
1457985341	mic4	8.86	68.00	46.00	170.00
1457985342	mic5	9.42	74.00	52.00	175.00
1457985403	mic0	0.45	60.00	40.00	162.00
1457985404	mic1	7.81	74.00	54.00	178.00
1457985405	mic2	8.88	77.00	59.00	190.00
1457985406	mic3	8.45	65.00	43.00	173.00
1457985407	mic4	3.44	68.00	46.00	169.00
1457985408	mic5	8.36	74.00	52.00	173.00
1457985469	mic0	8.49	60.00	40.00	170.00
1457985470	mic1	8.63	74.00	54.00	172.00
1457985471	mic2	8.65	77.00	59.00	192.00
1457985471	mic3	7.47	66.00	43.00	170.00
1457985472	mic4	5.32	69.00	46.00	170.00
1457985473	mic5	6.81	73.00	52.00	172.00
1457985534	mic0	9.58	60.00	40.00	167.00
1457985535	mic1	8.55	74.00	54.00	176.00
1457985536	mic2	9.25	78.00	59.00	192.00
1457985537	mic3	6.81	66.00	43.00	170.00
1457985538	mic4	8.62	68.00	46.00	164.00
1457985539	mic5	1.50	73.00	52.00	170.00
1457985600	mic0	4.92	59.00	40.00	167.00
1457985601	mic1	3.50	74.00	54.00	178.00
1457985602	mic2	8.10	78.00	59.00	191.00
1457985603	mic3	8.59	65.00	43.00	171.00
1457985604	mic4	7.78	69.00	46.00	163.00
1457985605	mic5	8.52	73.00	52.00	173.00
1457985666	mic0	3.08	59.00	40.00	160.00
1457985667	mic1	1.46	73.00	54.00	174.00
1457985667	mic2	6.77	78.00	59.00	191.00
1457985668	mic3	3.56	65.00	43.00	165.00
1457985669	mic4	8.57	68.00	46.00	165.00
1457985670	mic5	4.96	74.00	52.00	170.00
1457985731	mic0	7.75	58.00	40.00	167.00
1457985732	mic1	8.39	73.00	54.00	178.00
1457985733	mic2	2.61	77.00	59.00	188.00
1457985734	mic3	5.30	64.00	43.00	167.00
1457985735	mic4	7.19	68.00	46.00	164.00
1457985736	mic5	7.39	74.00	52.00	168.00
1457985797	mic0	5.82	59.00	40.00	163.00
1457985798	mic1	7.94	72.00	54.00	163.00
1457985799	mic2	8.14	77.00	59.00	189.00
1457985800	mic3	2.15	65.00	43.00	172.00
1457985801	mic4	6.13	68.00	46.00	161.00
1457985802	mic5	1.94	72.00	52.00	162.00
1457985863	mic0	1.72	58.00	40.00	158.00
1457985864	mic1	1.51	71.00	54.00	167.00
1457985864	mic2	4.81	77.00	59.00	178.00
1457985865	mic3	3.11	65.00	43.00	173.00
1457985866	mic4	4.50	69.00	46.00	165.00
1457985867	mic5	1.41	74.00	52.00	169.00
1457985928	mic0	5.20	59.00	40.00	166.00
1457985929	mic1	7.16	72.00	54.00	171.00
1457985930	mic2	6.76	77.00	58.00	185.00
1457985931	mic3	5.66	64.00	43.00	173.00
1457985932	mic4	7.44	68.00	46.00	166.00
1457985933	mic5	4.49	73.00	52.00	171.00
1457985994	mic0	6.28	60.00	40.00	162.00
1457985995	mic1	6.68	72.00	54.00	174.00
1457985996	mic2	7.06	78.00	58.00	187.00
1457985997	mic3	0.36	65.00	43.00	171.00
1457985998	mic4	2.61	68.00	46.00	166.00
1457985999	mic5	7.34	73.00	52.00	170.00
1457986060	mic0	3.97	60.00	40.00	171.00
1457986060	mic1	6.34	72.00	54.00	175.00
1457986061	mic2	7.70	77.00	58.00	186.00
1457986062	mic3	8.06	65.00	43.00	167.00
1457986063	mic4	7.80	69.00	46.00	163.00
1457986064	mic5	3.25	73.00	52.00	169.00
1457986125	mic0	1.85	59.00	40.00	165.00
1457986126	mic1	5.72	72.00	54.00	172.00
1457986127	mic2	9.03	77.00	58.00	184.00
1457986128	mic3	8.45	63.00	43.00	168.00
1457986129	mic4	3.21	68.00	46.00	162.00
1457986130	mic5	4.27	72.00	52.00	168.00
1457986191	mic0	9.10	59.00	40.00	163.00
1457986192	mic1	1.28	73.00	54.00	173.00
1457986193	mic2	7.11	77.00	58.00	185.00
1457986194	mic3	3.90	64.00	43.00	171.00
1457986195	mic4	6.82	68.00	46.00	165.00
1457986195	mic5	4.40	73.00	52.00	156.00
1457986256	mic0	4.20	58.00	40.00	165.00
1457986257	mic1	4.23	72.00	54.00	169.00
1457986258	mic2	8.58	77.00	58.00	185.00
1457986259	mic3	3.96	65.00	43.00	166.00
1457986260	mic4	9.59	67.00	46.00	158.00
1457986261	mic5	8.22	73.00	52.00	168.00
1457986322	mic0	1.74	51.00	40.00	110.00
1457986323	mic1	0.09	67.00	53.00	112.00
1457986324	mic2	2.34	74.00	58.00	132.00
1457986325	mic3	5.56	62.00	42.00	151.00
1457986326	mic4	0.00	62.00	45.00	107.00
1457986327	mic5	0.00	67.00	51.00	110.00
1457986388	mic0	0.00	48.00	39.00	104.00
1457986389	mic1	0.00	63.00	51.00	111.00
1457986390	mic2	0.00	69.00	55.00	130.00
1457986390	mic3	7.49	60.00	42.00	135.00
1457986391	mic4	0.00	60.00	44.00	107.00
1457986392	mic5	0.00	64.00	49.00	107.00
1457986453	mic0	4.43	52.00	39.00	152.00
1457986454	mic1	9.96	65.00	51.00	124.00
1457986455	mic2	0.90	71.00	55.00	154.00
1457986456	mic3	8.73	58.00	42.00	125.00
1457986457	mic4	1.63	64.00	44.00	155.00
1457986458	mic5	2.56	67.00	50.00	120.00
1457986519	mic0	0.00	50.00	39.00	103.00
1457986520	mic1	0.00	66.00	52.00	111.00
1457986521	mic2	5.72	72.00	56.00	186.00
1457986522	mic3	0.00	57.00	42.00	109.00
1457986523	mic4	9.28	63.00	45.00	112.00
1457986524	mic5	0.00	67.00	50.00	108.00
1457986585	mic0	3.62	61.00	40.00	166.00
1457986585	mic1	0.89	73.00	53.00	177.00
1457986586	mic2	6.16	77.00	57.00	190.00
1457986587	mic3	8.35	65.00	42.00	172.00
1457986588	mic4	2.29	69.00	46.00	168.00
1457986589	mic5	7.70	74.00	52.00	172.00
1457986650	mic0	4.58	59.00	40.00	163.00
1457986651	mic1	6.77	74.00	54.00	176.00
1457986652	mic2	9.11	78.00	58.00	192.00
1457986653	mic3	8.75	65.00	43.00	173.00
1457986654	mic4	9.81	69.00	46.00	168.00
1457986655	mic5	8.19	74.00	52.00	170.00
1457986716	mic0	5.40	60.00	40.00	162.00
1457986717	mic1	7.75	74.00	54.00	169.00
1457986718	mic2	0.00	78.00	59.00	193.00
1457986719	mic3	9.22	65.00	43.00	174.00
1457986720	mic4	8.71	68.00	46.00	164.00
1457986720	mic5	5.43	74.00	53.00	174.00
1457986781	mic0	1.24	59.00	41.00	169.00
1457986782	mic1	6.74	74.00	55.00	173.00
1457986783	mic2	9.59	79.00	59.00	192.00
1457986784	mic3	8.32	66.00	43.00	173.00
1457986785	mic4	4.18	70.00	47.00	172.00
1457986786	mic5	2.39	74.00	53.00	170.00
1457986847	mic0	8.67	59.00	40.00	162.00
1457986848	mic1	7.31	73.00	55.00	175.00
1457986849	mic2	7.32	79.00	59.00	192.00
1457986850	mic3	8.73	66.00	43.00	177.00
1457986851	mic4	1.43	68.00	47.00	168.00
1457986852	mic5	3.15	74.00	53.00	170.00
1457986913	mic0	3.41	60.00	40.00	169.00
1457986914	mic1	4.83	73.00	55.00	177.00
1457986915	mic2	8.07	78.00	59.00	194.00
1457986916	mic3	7.84	65.00	43.00	174.00
1457986916	mic4	4.13	69.00	47.00	168.00
1457986917	mic5	9.67	75.00	53.00	175.00
1457986978	mic0	3.46	60.00	41.00	171.00
1457986979	mic1	7.27	74.00	55.00	180.00
1457986980	mic2	7.65	78.00	59.00	186.00
1457986981	mic3	7.57	65.00	43.00	170.00
1457986982	mic4	8.49	69.00	47.00	171.00
1457986983	mic5	1.80	74.00	53.00	173.00
1457987044	mic0	6.44	60.00	41.00	163.00
1457987045	mic1	4.82	73.00	55.00	178.00
1457987046	mic2	9.34	79.00	59.00	195.00
1457987047	mic3	9.05	66.00	43.00	176.00
1457987048	mic4	0.08	69.00	47.00	165.00
1457987049	mic5	7.69	75.00	53.00	175.00
1457987110	mic0	8.77	60.00	41.00	163.00
1457987111	mic1	5.47	74.00	55.00	177.00
1457987111	mic2	6.94	78.00	59.00	191.00
1457987112	mic3	1.04	65.00	43.00	177.00
1457987113	mic4	6.92	67.00	46.00	167.00
1457987114	mic5	6.61	73.00	53.00	174.00
1457987175	mic0	1.02	60.00	41.00	172.00
1457987176	mic1	6.43	74.00	55.00	174.00
1457987177	mic2	8.87	79.00	59.00	192.00
1457987178	mic3	9.78	65.00	43.00	173.00
1457987179	mic4	4.54	68.00	46.00	166.00
1457987180	mic5	8.92	74.00	52.00	173.00
1457987241	mic0	8.08	60.00	41.00	163.00
1457987242	mic1	5.05	73.00	55.00	177.00
1457987243	mic2	9.35	78.00	59.00	186.00
1457987244	mic3	8.07	66.00	43.00	172.00
1457987245	mic4	9.15	69.00	46.00	169.00
1457987246	mic5	9.81	72.00	52.00	171.00
1457987307	mic0	7.86	59.00	40.00	168.00
1457987308	mic1	9.11	74.00	55.00	180.00
1457987308	mic2	9.93	78.00	59.00	189.00
1457987309	mic3	4.38	64.00	43.00	173.00
1457987310	mic4	2.28	70.00	46.00	168.00
1457987311	mic5	9.31	73.00	52.00	175.00
1457987372	mic0	4.95	61.00	41.00	162.00
1457987373	mic1	1.38	74.00	55.00	176.00
1457987374	mic2	0.02	77.00	59.00	191.00
1457987375	mic3	6.47	66.00	43.00	173.00
1457987376	mic4	6.25	68.00	46.00	172.00
1457987377	mic5	8.81	72.00	52.00	174.00
1457987438	mic0	3.78	60.00	41.00	169.00
1457987439	mic1	8.54	75.00	55.00	181.00
1457987440	mic2	7.55	78.00	59.00	189.00
1457987441	mic3	8.55	65.00	43.00	176.00
1457987442	mic4	6.61	69.00	46.00	166.00
1457987443	mic5	0.00	72.00	52.00	173.00
1457987503	mic0	9.58	61.00	41.00	171.00
1457987504	mic1	0.45	73.00	55.00	178.00
1457987505	mic2	5.56	78.00	59.00	191.00
1457987506	mic3	9.85	66.00	43.00	176.00
1457987507	mic4	6.68	69.00	46.00	169.00
1457987508	mic5	4.56	74.00	52.00	171.00
1457987569	mic0	0.57	60.00	41.00	170.00
1457987570	mic1	9.21	74.00	55.00	178.00
1457987571	mic2	5.22	79.00	59.00	189.00
1457987572	mic3	3.64	66.00	43.00	169.00
1457987573	mic4	6.55	68.00	46.00	170.00
1457987574	mic5	4.80	73.00	52.00	169.00
1457987635	mic0	6.96	59.00	41.00	169.00
1457987636	mic1	1.60	74.00	55.00	173.00
1457987637	mic2	8.81	78.00	59.00	195.00
1457987638	mic3	6.82	66.00	43.00	173.00
1457987638	mic4	3.34	68.00	46.00	167.00
1457987639	mic5	5.69	74.00	52.00	172.00
1457987700	mic0	5.78	60.00	41.00	169.00
1457987701	mic1	5.49	74.00	55.00	175.00
1457987702	mic2	0.78	78.00	59.00	186.00
1457987703	mic3	2.14	66.00	43.00	174.00
1457987704	mic4	6.35	68.00	46.00	165.00
1457987705	mic5	8.00	73.00	52.00	172.00
1457987766	mic0	4.54	59.00	41.00	165.00
1457987767	mic1	5.65	74.00	55.00	179.00
1457987768	mic2	1.12	78.00	59.00	190.00
1457987769	mic3	8.95	65.00	43.00	177.00
1457987770	mic4	6.18	68.00	46.00	158.00
1457987771	mic5	1.07	73.00	52.00	171.00
1457987832	mic0	6.64	60.00	41.00	164.00
1457987833	mic1	6.73	74.00	55.00	177.00
1457987833	mic2	2.17	79.00	59.00	188.00
1457987834	mic3	5.48	66.00	43.00	173.00
1457987835	mic4	1.57	68.00	46.00	172.00
1457987836	mic5	7.29	75.00	52.00	174.00
1457987897	mic0	2.58	60.00	41.00	165.00
1457987898	mic1	9.52	73.00	55.00	179.00
1457987899	mic2	3.85	77.00	59.00	192.00
1457987900	mic3	9.63	65.00	43.00	174.00
1457987901	mic4	5.06	68.00	46.00	168.00
1457987902	mic5	9.13	73.00	52.00	170.00
1457987963	mic0	8.49	59.00	41.00	167.00
1457987964	mic1	9.09	73.00	55.00	178.00
1457987965	mic2	0.44	78.00	59.00	190.00
1457987966	mic3	5.65	66.00	43.00	174.00
1457987967	mic4	2.84	67.00	46.00	167.00
1457987968	mic5	7.48	74.00	52.00	172.00
1457988029	mic0	5.70	59.00	41.00	168.00
1457988029	mic1	4.25	74.00	55.00	177.00
1457988030	mic2	8.77	78.00	59.00	188.00
1457988031	mic3	3.61	66.00	43.00	171.00
1457988032	mic4	6.17	68.00	46.00	167.00
1457988033	mic5	6.43	73.00	52.00	170.00
1457988094	mic0	9.01	59.00	40.00	163.00
1457988095	mic1	5.71	74.00	55.00	179.00
1457988096	mic2	5.00	78.00	59.00	185.00
1457988097	mic3	3.32	65.00	43.00	170.00
1457988098	mic4	6.95	68.00	46.00	161.00
1457988099	mic5	8.44	73.00	52.00	169.00
1457988160	mic0	5.89	60.00	40.00	160.00
1457988161	mic1	5.13	73.00	55.00	176.00
1457988162	mic2	7.42	78.00	59.00	189.00
1457988163	mic3	5.56	65.00	43.00	164.00
1457988164	mic4	6.57	66.00	46.00	164.00
1457988164	mic5	9.47	74.00	52.00	171.00
1457988225	mic0	9.57	59.00	40.00	153.00
1457988226	mic1	6.68	73.00	54.00	175.00
1457988227	mic2	8.71	77.00	59.00	187.00
1457988228	mic3	8.54	65.00	43.00	174.00
1457988229	mic4	6.35	68.00	46.00	158.00
1457988230	mic5	1.24	73.00	52.00	168.00
1457988291	mic0	6.26	58.00	40.00	164.00
1457988292	mic1	8.02	73.00	54.00	179.00
1457988293	mic2	3.75	77.00	58.00	183.00
1457988294	mic3	6.89	64.00	43.00	173.00
1457988295	mic4	5.37	66.00	45.00	161.00
1457988296	mic5	4.86	73.00	52.00	166.00
1457988357	mic0	4.25	58.00	40.00	167.00
1457988358	mic1	7.11	72.00	54.00	173.00
1457988359	mic2	7.29	77.00	58.00	188.00
1457988359	mic3	5.49	65.00	43.00	169.00
1457988360	mic4	9.75	68.00	45.00	160.00
1457988361	mic5	8.71	72.00	51.00	167.00
1457988422	mic0	7.88	59.00	40.00	163.00
1457988423	mic1	1.83	74.00	54.00	174.00
1457988424	mic2	9.23	77.00	58.00	179.00
1457988425	mic3	8.59	65.00	43.00	169.00
1457988426	mic4	4.02	67.00	45.00	161.00
1457988427	mic5	7.29	72.00	51.00	170.00
1457988488	mic0	5.52	59.00	40.00	167.00
1457988489	mic1	9.48	73.00	54.00	174.00
1457988490	mic2	0.52	77.00	58.00	183.00
1457988491	mic3	0.75	65.00	43.00	169.00
1457988492	mic4	8.99	68.00	46.00	164.00
1457988493	mic5	4.38	71.00	51.00	168.00
1457988554	mic0	1.61	60.00	40.00	161.00
1457988554	mic1	8.87	72.00	54.00	175.00
1457988555	mic2	3.99	77.00	58.00	185.00
1457988556	mic3	1.21	66.00	43.00	173.00
1457988557	mic4	4.60	68.00	46.00	165.00
1457988558	mic5	8.45	72.00	52.00	166.00
1457988619	mic0	6.09	59.00	40.00	165.00
1457988620	mic1	6.29	72.00	54.00	178.00
1457988621	mic2	4.95	77.00	58.00	188.00
1457988622	mic3	0.66	64.00	43.00	169.00
1457988623	mic4	5.00	68.00	46.00	166.00
1457988624	mic5	4.49	72.00	52.00	168.00
1457988685	mic0	3.83	59.00	40.00	164.00
1457988686	mic1	5.69	72.00	54.00	177.00
1457988687	mic2	6.17	77.00	58.00	186.00
1457988688	mic3	5.32	66.00	43.00	170.00
1457988689	mic4	0.74	68.00	46.00	166.00
1457988689	mic5	7.87	73.00	52.00	170.00
1457988750	mic0	1.58	59.00	40.00	166.00
1457988751	mic1	9.67	72.00	54.00	173.00
1457988752	mic2	6.06	77.00	58.00	184.00
1457988753	mic3	4.17	65.00	43.00	166.00
1457988754	mic4	6.58	68.00	46.00	161.00
1457988755	mic5	3.60	70.00	52.00	151.00
1457988816	mic0	9.09	58.00	40.00	155.00
1457988817	mic1	8.53	72.00	54.00	165.00
1457988818	mic2	3.83	77.00	58.00	182.00
1457988819	mic3	4.73	64.00	43.00	157.00
1457988820	mic4	5.40	67.00	45.00	156.00
1457988821	mic5	3.39	70.00	51.00	160.00
1457988882	mic0	0.00	48.00	39.00	104.00
1457988883	mic1	0.00	63.00	52.00	111.00
1457988884	mic2	0.00	70.00	56.00	125.00
1457988885	mic3	0.00	55.00	42.00	109.00
1457988885	mic4	0.00	60.00	44.00	107.00
1457988886	mic5	0.04	64.00	49.00	108.00
1457988947	mic0	0.00	49.00	39.00	103.00
1457988948	mic1	0.87	65.00	52.00	139.00
1457988949	mic2	1.16	69.00	56.00	138.00
1457988950	mic3	0.15	56.00	42.00	138.00
1457988951	mic4	8.96	63.00	45.00	161.00
1457988952	mic5	4.60	67.00	50.00	112.00
1457989013	mic0	9.84	58.00	39.00	157.00
1457989014	mic1	0.67	70.00	52.00	180.00
1457989015	mic2	6.72	74.00	56.00	182.00
1457989016	mic3	8.57	61.00	41.00	170.00
1457989017	mic4	5.24	68.00	45.00	166.00
1457989018	mic5	4.04	72.00	51.00	170.00
1457989079	mic0	4.62	61.00	40.00	167.00
1457989080	mic1	3.83	72.00	54.00	157.00
1457989081	mic2	3.63	77.00	57.00	191.00
1457989081	mic3	6.24	64.00	42.00	175.00
1457989082	mic4	5.57	69.00	46.00	173.00
1457989083	mic5	8.67	74.00	52.00	175.00
1457989144	mic0	5.83	60.00	41.00	167.00
1457989145	mic1	4.02	73.00	54.00	164.00
1457989146	mic2	5.52	78.00	59.00	193.00
1457989147	mic3	9.45	66.00	43.00	172.00
1457989148	mic4	2.45	69.00	46.00	169.00
1457989149	mic5	7.34	74.00	52.00	171.00
1457989210	mic0	5.45	60.00	41.00	168.00
1457989211	mic1	4.71	74.00	54.00	176.00
1457989212	mic2	5.70	78.00	59.00	190.00
1457989213	mic3	8.50	64.00	43.00	174.00
1457989214	mic4	5.61	69.00	47.00	171.00
1457989215	mic5	9.30	75.00	53.00	175.00
1457989275	mic0	4.09	60.00	41.00	167.00
1457989276	mic1	3.67	73.00	54.00	179.00
1457989277	mic2	8.99	78.00	59.00	188.00
1457989278	mic3	5.24	66.00	43.00	172.00
1457989279	mic4	1.06	69.00	47.00	170.00
1457989280	mic5	9.11	74.00	53.00	174.00
1457989341	mic0	3.95	61.00	41.00	174.00
1457989342	mic1	3.06	73.00	54.00	174.00
1457989343	mic2	5.61	79.00	59.00	196.00
1457989344	mic3	8.61	66.00	43.00	178.00
1457989345	mic4	5.02	69.00	47.00	169.00
1457989346	mic5	7.02	74.00	53.00	176.00
1457989407	mic0	6.05	60.00	41.00	174.00
1457989408	mic1	6.08	73.00	55.00	176.00
1457989409	mic2	5.95	78.00	59.00	191.00
1457989410	mic3	8.29	65.00	43.00	173.00
1457989411	mic4	4.34	70.00	47.00	174.00
1457989411	mic5	8.48	75.00	53.00	166.00
1457989472	mic0	9.07	60.00	41.00	168.00
1457989473	mic1	6.05	74.00	55.00	178.00
1457989474	mic2	7.54	78.00	59.00	182.00
1457989475	mic3	0.10	65.00	43.00	164.00
1457989476	mic4	1.31	68.00	47.00	163.00
1457989477	mic5	5.72	75.00	53.00	173.00
1457989538	mic0	1.26	61.00	41.00	167.00
1457989539	mic1	6.17	73.00	55.00	179.00
1457989540	mic2	9.69	78.00	59.00	186.00
1457989541	mic3	6.66	66.00	43.00	175.00
1457989542	mic4	7.38	69.00	47.00	171.00
1457989543	mic5	3.78	74.00	53.00	177.00
1457989604	mic0	4.65	62.00	41.00	169.00
1457989605	mic1	9.91	74.00	55.00	182.00
1457989605	mic2	6.50	78.00	59.00	186.00
1457989606	mic3	0.00	65.00	43.00	172.00
1457989607	mic4	3.73	69.00	46.00	171.00
1457989608	mic5	9.83	74.00	53.00	172.00
1457989669	mic0	5.79	60.00	41.00	169.00
1457989670	mic1	8.19	74.00	55.00	180.00
1457989671	mic2	7.13	78.00	59.00	194.00
1457989672	mic3	9.37	66.00	43.00	175.00
1457989673	mic4	7.86	69.00	46.00	168.00
1457989674	mic5	8.94	74.00	52.00	174.00
1457989735	mic0	6.68	59.00	41.00	163.00
1457989736	mic1	7.65	75.00	55.00	175.00
1457989737	mic2	6.62	79.00	59.00	190.00
1457989738	mic3	3.31	65.00	43.00	177.00
1457989739	mic4	4.81	69.00	46.00	169.00
1457989740	mic5	8.33	73.00	52.00	163.00
1457989801	mic0	9.90	59.00	41.00	164.00
1457989801	mic1	6.92	75.00	55.00	184.00
1457989802	mic2	5.78	78.00	59.00	185.00
1457989803	mic3	8.60	65.00	43.00	176.00
1457989804	mic4	3.70	68.00	46.00	170.00
1457989805	mic5	6.88	73.00	52.00	169.00
1457989866	mic0	6.37	59.00	41.00	169.00
1457989867	mic1	7.24	74.00	55.00	183.00
1457989868	mic2	7.26	78.00	59.00	189.00
1457989869	mic3	8.89	66.00	43.00	178.00
1457989870	mic4	2.94	68.00	46.00	169.00
1457989871	mic5	7.80	74.00	52.00	174.00
1457989932	mic0	6.75	60.00	41.00	168.00
1457989933	mic1	8.94	74.00	55.00	183.00
1457989934	mic2	7.31	79.00	59.00	188.00
1457989935	mic3	5.77	65.00	43.00	175.00
1457989936	mic4	8.35	69.00	46.00	167.00
1457989936	mic5	7.27	73.00	52.00	174.00
1457989997	mic0	5.06	60.00	41.00	169.00
1457989998	mic1	4.02	74.00	55.00	177.00
1457989999	mic2	7.04	78.00	59.00	191.00
1457990000	mic3	7.58	66.00	43.00	176.00
1457990001	mic4	1.65	68.00	46.00	167.00
1457990002	mic5	2.91	73.00	52.00	174.00
1457990063	mic0	5.59	59.00	41.00	171.00
1457990064	mic1	1.58	74.00	55.00	174.00
1457990065	mic2	6.54	78.00	59.00	194.00
1457990066	mic3	8.46	65.00	43.00	173.00
1457990067	mic4	2.05	68.00	46.00	165.00
1457990068	mic5	9.41	73.00	52.00	176.00
1457990129	mic0	8.55	60.00	41.00	169.00
1457990130	mic1	5.27	73.00	55.00	171.00
1457990131	mic2	7.16	77.00	59.00	192.00
1457990131	mic3	9.01	66.00	43.00	171.00
1457990132	mic4	7.85	69.00	46.00	165.00
1457990133	mic5	3.48	73.00	52.00	173.00
1457990194	mic0	7.39	59.00	41.00	166.00
1457990195	mic1	6.25	74.00	55.00	176.00
1457990196	mic2	3.70	78.00	59.00	183.00
1457990197	mic3	3.07	65.00	43.00	170.00
1457990198	mic4	3.34	69.00	46.00	171.00
1457990199	mic5	8.42	73.00	52.00	179.00
1457990260	mic0	5.37	60.00	41.00	167.00
1457990261	mic1	6.74	73.00	55.00	177.00
1457990262	mic2	6.14	78.00	59.00	187.00
1457990263	mic3	7.36	66.00	43.00	173.00
1457990264	mic4	9.37	68.00	46.00	170.00
1457990265	mic5	5.94	74.00	52.00	174.00
1457990326	mic0	8.60	59.00	41.00	170.00
1457990326	mic1	4.79	73.00	54.00	165.00
1457990327	mic2	3.42	78.00	59.00	181.00
1457990328	mic3	5.12	66.00	43.00	163.00
1457990329	mic4	9.79	68.00	46.00	169.00
1457990330	mic5	6.91	73.00	52.00	174.00
1457990391	mic0	7.53	59.00	41.00	167.00
1457990392	mic1	0.76	73.00	54.00	175.00
1457990393	mic2	6.31	78.00	59.00	187.00
1457990394	mic3	7.65	64.00	43.00	169.00
1457990395	mic4	7.50	69.00	46.00	166.00
1457990396	mic5	7.23	74.00	52.00	168.00
1457990457	mic0	4.55	59.00	41.00	159.00
1457990458	mic1	0.26	74.00	54.00	178.00
1457990459	mic2	6.83	78.00	59.00	189.00
1457990460	mic3	6.20	65.00	43.00	166.00
1457990461	mic4	8.70	68.00	46.00	169.00
1457990461	mic5	8.84	73.00	52.00	170.00
1457990522	mic0	9.37	60.00	41.00	162.00
1457990523	mic1	8.70	73.00	54.00	174.00
1457990524	mic2	5.14	77.00	59.00	185.00
1457990525	mic3	8.24	65.00	43.00	152.00
1457990526	mic4	4.02	68.00	46.00	168.00
1457990527	mic5	3.73	73.00	52.00	170.00
1457990588	mic0	6.32	60.00	41.00	168.00
1457990589	mic1	7.54	73.00	54.00	175.00
1457990590	mic2	6.54	77.00	59.00	189.00
1457990591	mic3	5.19	65.00	43.00	165.00
1457990592	mic4	8.28	68.00	46.00	161.00
1457990593	mic5	5.71	72.00	52.00	159.00
1457990654	mic0	0.29	58.00	40.00	166.00
1457990655	mic1	4.52	73.00	54.00	179.00
1457990656	mic2	6.56	78.00	58.00	187.00
1457990657	mic3	0.67	64.00	43.00	158.00
1457990657	mic4	6.80	69.00	46.00	169.00
1457990658	mic5	5.87	72.00	52.00	172.00
1457990719	mic0	6.32	59.00	40.00	161.00
1457990720	mic1	6.12	73.00	54.00	172.00
1457990721	mic2	4.66	76.00	58.00	189.00
1457990722	mic3	9.09	65.00	43.00	169.00
1457990723	mic4	0.72	67.00	46.00	162.00
1457990724	mic5	9.53	72.00	52.00	166.00
1457990785	mic0	6.55	58.00	40.00	165.00
1457990786	mic1	7.84	72.00	54.00	175.00
1457990787	mic2	4.78	76.00	58.00	186.00
1457990788	mic3	5.22	65.00	43.00	164.00
1457990789	mic4	3.33	67.00	46.00	166.00
1457990790	mic5	7.57	73.00	52.00	171.00
1457990851	mic0	6.90	57.00	40.00	158.00
1457990852	mic1	3.12	72.00	54.00	171.00
1457990852	mic2	5.31	77.00	58.00	186.00
1457990853	mic3	5.14	64.00	43.00	167.00
1457990854	mic4	2.07	67.00	46.00	171.00
1457990855	mic5	0.62	72.00	52.00	170.00
1457990916	mic0	5.58	58.00	40.00	160.00
1457990917	mic1	8.77	72.00	54.00	172.00
1457990918	mic2	1.16	77.00	58.00	188.00
1457990919	mic3	1.08	65.00	43.00	169.00
1457990920	mic4	9.12	67.00	46.00	166.00
1457990921	mic5	3.90	72.00	52.00	168.00
1457990982	mic0	4.35	58.00	40.00	167.00
1457990983	mic1	1.16	73.00	54.00	176.00
1457990984	mic2	8.12	77.00	58.00	186.00
1457990985	mic3	0.75	65.00	43.00	168.00
1457990986	mic4	2.38	68.00	46.00	165.00
1457990986	mic5	7.81	73.00	52.00	168.00
1457991047	mic0	0.33	59.00	40.00	166.00
1457991048	mic1	0.17	74.00	54.00	176.00
1457991049	mic2	5.68	77.00	58.00	187.00
1457991050	mic3	6.06	64.00	43.00	171.00
1457991051	mic4	1.92	67.00	46.00	165.00
1457991052	mic5	8.17	72.00	52.00	171.00
