#time	mic	%cpu	cpuT	memT	totW
1457973982	mic1	9.57	72.00	53.00	201.00
1457973983	mic2	8.54	74.00	57.00	209.00
1457973984	mic3	9.81	59.00	42.00	170.00
1457973985	mic4	9.73	63.00	45.00	166.00
1457973986	mic5	0.35	66.00	51.00	115.00
1457974047	mic0	6.91	54.00	40.00	148.00
1457974048	mic1	9.76	68.00	52.00	173.00
1457974049	mic2	9.76	72.00	57.00	186.00
1457974050	mic3	2.21	56.00	42.00	120.00
1457974051	mic4	0.37	61.00	45.00	113.00
1457974051	mic5	4.51	71.00	51.00	194.00
1457974112	mic0	9.69	54.00	39.00	164.00
1457974113	mic1	1.58	69.00	53.00	155.00
1457974114	mic2	3.76	73.00	57.00	168.00
1457974115	mic3	4.05	60.00	42.00	115.00
1457974116	mic4	9.91	67.00	46.00	189.00
1457974117	mic5	9.77	68.00	51.00	167.00
1457974178	mic0	3.76	51.00	40.00	120.00
1457974179	mic1	9.69	68.00	53.00	172.00
1457974180	mic2	9.66	71.00	57.00	188.00
1457974181	mic3	0.00	59.00	42.00	169.00
1457974182	mic4	9.64	63.00	45.00	168.00
1457974183	mic5	0.35	65.00	51.00	114.00
1457974244	mic0	9.72	52.00	39.00	162.00
1457974245	mic1	0.00	66.00	53.00	112.00
1457974246	mic2	0.02	72.00	58.00	145.00
1457974247	mic3	0.12	57.00	42.00	133.00
1457974248	mic4	9.78	64.00	46.00	167.00
1457974248	mic5	9.72	69.00	51.00	169.00
1457974309	mic0	0.05	52.00	40.00	104.00
1457974310	mic1	9.67	68.00	52.00	171.00
1457974311	mic2	0.00	75.00	58.00	208.00
1457974312	mic3	9.82	59.00	42.00	168.00
1457974313	mic4	0.38	62.00	46.00	114.00
1457974314	mic5	0.31	68.00	51.00	116.00
1457974375	mic0	9.81	54.00	40.00	164.00
1457974376	mic1	5.33	67.00	53.00	118.00
1457974377	mic2	9.70	72.00	57.00	184.00
1457974378	mic3	0.35	57.00	42.00	116.00
1457974379	mic4	7.23	63.00	46.00	116.00
1457974380	mic5	9.79	70.00	52.00	168.00
1457974441	mic0	0.36	50.00	39.00	111.00
1457974442	mic1	9.68	68.00	52.00	172.00
1457974443	mic2	9.58	72.00	57.00	162.00
1457974444	mic3	8.69	59.00	42.00	192.00
1457974444	mic4	0.38	60.00	45.00	114.00
1457974445	mic5	0.38	67.00	51.00	114.00
1457974506	mic0	2.47	53.00	40.00	113.00
1457974507	mic1	0.00	66.00	53.00	113.00
1457974508	mic2	9.87	71.00	57.00	181.00
1457974509	mic3	0.16	55.00	41.00	123.00
1457974510	mic4	0.00	64.00	46.00	167.00
1457974511	mic5	3.94	70.00	53.00	117.00
1457974572	mic0	0.00	54.00	39.00	164.00
1457974573	mic1	9.78	68.00	52.00	172.00
1457974574	mic2	8.78	73.00	57.00	136.00
1457974575	mic3	4.78	59.00	42.00	116.00
1457974576	mic4	0.12	63.00	46.00	112.00
1457974577	mic5	9.85	68.00	52.00	166.00
1457974638	mic0	9.87	54.00	40.00	145.00
1457974639	mic1	0.34	66.00	53.00	117.00
1457974639	mic2	8.60	74.00	58.00	184.00
1457974640	mic3	9.79	58.00	42.00	168.00
1457974641	mic4	0.00	64.00	45.00	165.00
1457974642	mic5	9.56	67.00	51.00	114.00
1457974703	mic0	9.52	54.00	39.00	168.00
1457974704	mic1	0.00	66.00	53.00	112.00
1457974705	mic2	0.05	70.00	57.00	144.00
1457974706	mic3	0.38	57.00	42.00	116.00
1457974707	mic4	0.85	62.00	45.00	148.00
1457974708	mic5	1.30	71.00	52.00	202.00
